PROGRAMACIÓN UNO,,,,"31-ene","14-feb","28-feb","07-mar","07-mar","13-mar"
4PAA,,,,"ACTIVIDAD UNO UNIDAD UNO","ACTIVIDAD DOS UNIDAD UNO","ACTIVIDAD TRES UNIDAD UNO","ASPECTOS UNIDAD UNO","TAREAS EN CLASE UNIDAD UNO","PRUEBA OBJETIVA UNIDAD UNO"
ABRIR CLASSROOM,,,,15,15,15,10,15,30
,,,,,,,,,
Promedio de la clase,,,67.77%,10.0,8.88,12.4,6.77,9.38,
NÁJERA AGUIRRE,ANDREA GUADALUPE,anajeraaguirre@ejemplo.edu,74.29%,6,9,15,7,15,
SALGUERO ACEVEDO,ANGEL ARNOLDO,asalgueroacevedo@ejemplo.edu,78.57%,9,9,15,7,15,
GONZÁLEZ LOPEZ,ANGEL GIORDANY,agonzalezlopez@ejemplo.edu,64.29%,12,9,15,7,2,
GUERRA CHINCHILLA,ANTHONY EMMANUEL,aguerrachinchilla@ejemplo.edu,74.29%,8,9,15,7,13,
REYES MORALES,ANTONY ALEXANDER,areyesmorales@ejemplo.edu,85.71%,14,9,15,7,15,
SANCHEZ CERVANTES,CARLOS MIGUEL,csanchezcervantes@ejemplo.edu,8.57%,0,0,0,6,0,
PÉREZ SETINO,CESIA BHETZAIDA,cperezsetino@ejemplo.edu,94.29%,14,15,15,7,15,
MONZÓN VEGA,ALEXA BALERIA,amonzonvega@ejemplo.edu,71.43%,10,8,14,6,12,
GUZMÁN,ALISSON GISELL,aguzman@ejemplo.edu,78.57%,12,10,15,8,14,
BATZ,ANDREW MOISES,abatz@ejemplo.edu,82.14%,13,9,15,9,15,
RODRÍGUEZ,ARACELY ELIZABETH,arodriguez@ejemplo.edu,60.00%,8,7,12,5,10,
MORALES,BLANCA ANGELY,bmorales@ejemplo.edu,75.00%,11,9,14,7,13,
LÓPEZ EDONIAS,JASON,jlopez@ejemplo.edu,67.86%,9,8,13,6,11,
